ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778453055,95,7494,65,208.42,45,1.81,13.2,91.6,120
1778453057,95,7494,65,208.32,45,1.81,7.1,91.9,120
1778453060,95,7494,65,209.14,45,1.99,8.2,92.0,120
1778453062,95,7494,65,208.62,45,1.99,8.6,92.0,120
1778453063,95,7494,65,209.09,45,1.99,14.1,92.0,120
1778453065,96,7494,66,209.04,45,1.99,10.6,91.9,120
1778453067,95,7494,65,209.69,45,1.99,7.7,91.9,120
1778453068,95,7494,66,209.50,45,1.99,13.8,92.1,120
1778453070,95,7494,66,209.64,45,1.91,13.3,92.0,120
1778453072,95,7494,66,210.11,45,1.91,6.9,91.9,120
1778453074,95,7494,66,210.63,45,1.91,7.2,91.9,120
1778453076,96,7494,67,210.61,45,2.00,7.4,91.9,120
1778453077,96,7494,66,211.29,45,2.00,7.0,91.9,120
1778453079,95,7494,66,210.91,45,2.00,6.6,91.9,120
1778453081,94,7494,66,210.84,45,1.92,7.1,91.9,120
1778453083,95,7494,66,210.55,45,1.92,15.0,92.1,120
1778453084,95,7494,66,211.10,45,1.92,8.5,91.9,120
1778453086,95,7494,66,211.55,45,2.16,6.6,91.8,120
1778453088,95,7494,67,211.60,45,2.16,7.1,92.0,120
1778453090,96,7494,67,211.51,45,2.31,7.4,92.0,120
1778453091,95,7494,67,212.04,45,2.31,10.5,92.0,120
1778453093,95,7494,66,211.95,45,2.31,6.6,92.0,120
1778453095,95,7494,67,212.13,45,2.60,7.7,92.0,120
1778453096,95,7494,67,212.44,45,2.60,7.7,92.0,120
1778453098,95,7494,67,212.29,45,2.60,9.4,91.9,120
1778453100,95,7494,67,212.16,45,2.64,8.1,91.8,120
1778453102,95,7494,67,212.25,45,2.64,8.7,91.9,120
1778453103,95,7494,67,212.08,45,2.64,8.8,92.0,120
1778453105,94,7494,67,212.10,45,2.50,7.0,92.0,120
1778453107,94,7494,67,212.55,45,2.50,7.9,91.9,120
1778453109,95,7494,67,212.99,46,2.50,8.0,91.9,120
1778453110,95,7494,67,213.04,45,2.54,7.5,91.9,120
1778453112,95,7494,67,213.17,45,2.54,8.5,91.9,120
1778453114,96,7494,67,213.30,46,2.54,7.2,91.8,120
1778453116,95,7494,67,213.21,46,2.74,7.5,91.9,120
1778453118,96,7494,67,213.60,46,2.74,6.8,91.7,120
1778453120,95,7494,67,213.71,46,2.74,7.0,91.8,120
1778453121,96,7494,67,213.37,46,2.60,7.2,91.8,120
1778453123,96,7494,67,213.72,46,2.60,9.1,91.3,120
1778453125,95,7494,67,214.21,46,2.39,6.5,91.3,120
1778453127,96,7494,68,213.90,46,2.39,6.3,91.3,120
1778453128,95,7494,67,214.00,46,2.39,6.6,91.1,120
1778453130,95,7494,67,214.03,46,2.36,7.5,91.0,120
1778453132,96,7494,67,214.30,46,2.36,7.2,91.0,120
1778453133,96,7494,67,214.20,46,2.36,7.3,91.1,120
1778453135,95,7494,67,214.54,46,2.33,7.2,91.1,120
1778453137,95,7494,67,214.71,46,2.33,7.2,91.1,120
1778453139,96,7494,67,214.07,46,2.33,6.8,91.1,120
1778453140,96,7494,68,214.70,46,2.30,7.4,91.1,120
1778453142,96,7494,67,213.74,46,2.30,7.7,91.1,120
1778453144,95,7494,67,214.15,46,2.30,7.4,90.8,120
1778453146,95,7494,67,214.30,46,2.20,7.0,90.8,120
1778453147,96,7494,67,215.11,47,2.20,8.1,90.9,120
1778453149,96,7494,67,214.16,46,2.20,8.2,90.9,120
1778453151,95,7494,67,214.85,46,2.10,7.7,90.9,120
