ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778436820,31,10747,58,18.47,0,1.56,8.3,87.2,119
1778436822,22,10747,61,77.85,30,1.67,9.1,87.2,119
1778436824,42,10747,59,44.56,30,1.67,7.4,87.3,119
1778436826,30,10747,58,42.51,30,1.62,7.6,87.1,119
1778436829,30,10747,57,42.08,30,1.62,7.2,87.2,119
1778436831,35,10747,56,41.47,30,1.62,7.7,87.2,119
1778436833,31,10747,55,40.42,30,1.65,7.7,87.4,119
1778436835,31,10747,54,40.20,30,1.65,8.0,87.1,119
1778436837,45,10747,54,40.19,30,1.59,7.1,87.1,119
1778436839,32,10747,53,39.30,30,1.59,7.1,87.4,119
1778436840,34,10747,52,39.11,30,1.59,8.2,87.2,119
1778436842,34,10747,52,39.15,30,1.55,7.0,87.2,119
1778436844,34,10747,51,38.93,30,1.55,8.2,87.3,119
1778436846,43,10747,51,39.32,30,1.58,22.9,88.5,119
1778436848,36,10747,50,38.91,30,1.58,7.5,88.3,119
1778436850,33,10747,49,39.01,30,1.58,7.3,88.0,119
1778436852,46,10747,50,39.29,30,1.62,6.9,88.0,119
1778436854,43,10747,49,38.68,30,1.62,7.6,88.0,119
1778436856,45,10747,49,38.59,30,1.62,7.6,88.0,119
1778436858,46,10747,48,38.42,30,1.65,7.9,88.3,119
1778436860,40,10747,48,37.79,30,1.65,7.4,88.1,119
1778436862,45,10747,48,37.92,30,1.59,7.7,88.1,119
1778436864,46,10747,47,37.84,30,1.59,7.8,88.2,119
1778436866,39,10747,46,38.08,30,1.59,6.7,88.1,119
1778436868,44,10747,46,38.03,30,1.55,7.7,88.1,119
1778436870,38,10747,46,37.23,0,1.55,7.5,88.0,119
1778436871,46,10747,46,37.45,0,1.55,7.7,88.1,119
1778436873,36,10747,46,37.44,0,1.74,7.7,88.2,119
1778436875,35,10747,46,37.78,0,1.74,6.7,88.1,119
1778436877,41,10747,46,38.04,0,1.68,11.5,88.1,119
1778436879,39,10747,46,37.86,0,1.68,8.1,88.0,119
1778436881,45,10747,47,38.20,0,1.68,6.5,88.1,119
1778436883,40,10747,47,37.53,0,1.63,7.3,88.2,119
1778436885,40,10747,47,38.14,0,1.63,6.5,87.9,119
1778436887,37,10747,47,37.68,0,1.50,7.4,88.1,119
1778436889,33,10747,47,38.01,0,1.50,8.6,88.0,119
1778436891,34,10747,47,38.35,0,1.50,7.5,87.8,119
1778436893,33,10747,47,38.21,0,1.62,8.1,87.9,119
1778436895,40,10747,48,38.10,0,1.62,6.7,87.9,119
1778436897,34,10747,48,37.86,0,1.62,7.5,87.8,119
1778436898,45,10747,48,38.22,0,1.57,7.0,87.9,119
1778436900,34,10747,47,38.07,0,1.57,6.9,87.9,119
1778436902,34,10747,48,38.57,0,1.57,8.4,88.5,119
1778436904,38,10747,48,38.73,0,1.52,7.5,88.1,119
1778436905,34,10747,48,38.10,0,1.52,7.9,87.8,119
1778436907,34,10747,48,38.43,0,1.52,7.6,87.9,119
1778436909,42,10747,49,38.28,0,1.48,6.9,87.9,119
1778436911,33,10747,48,38.24,0,1.48,7.4,87.9,119
1778436912,62,10747,54,66.67,0,1.52,6.4,87.9,119
1778436914,18,10747,53,71.80,0,1.52,6.8,88.0,119
1778436916,36,10747,49,41.13,0,1.52,7.9,87.9,119
1778436917,31,10747,49,40.59,0,1.48,6.8,87.8,119
1778436919,32,10747,49,40.15,0,1.48,7.4,87.8,119
1778436921,38,10747,49,39.81,0,1.48,8.1,87.7,119
1778436923,21,10747,52,75.51,0,1.52,8.5,88.0,119
1778436925,32,10747,50,51.59,0,1.52,7.6,87.7,119
1778436926,23,10747,52,87.40,0,1.52,7.1,87.8,119
1778436928,37,10747,51,61.62,0,1.56,7.2,88.0,119
1778436930,40,10747,50,40.47,0,1.56,8.5,87.9,119
