ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421778,33,10949,56,19.37,0,4.43,16.8,95.1,121
1778421780,63,10949,56,18.05,0,4.43,24.1,95.5,121
1778421781,15,8565,57,36.00,0,4.32,14.6,95.4,121
1778421783,27,9171,58,52.94,0,4.32,17.0,95.4,121
1778421785,4,9171,57,35.55,0,4.32,21.2,95.6,121
1778421787,24,10949,61,143.25,30,3.97,14.2,95.4,121
1778421789,10,10949,60,72.15,30,3.97,21.0,95.5,121
1778421790,7,10949,57,48.65,30,3.97,16.5,95.4,121
1778421793,16,10949,58,53.81,31,3.97,16.1,95.4,121
1778421795,46,10949,55,47.52,35,3.97,16.2,95.5,121
1778421797,24,10949,55,58.73,37,3.97,15.9,95.4,121
1778421799,37,10949,54,46.45,37,3.97,16.3,95.4,121
1778421800,23,10949,58,52.92,37,3.97,16.3,95.4,121
1778421803,46,10949,52,61.36,37,4.06,16.0,95.4,121
1778421804,25,10949,52,45.10,37,4.06,20.7,95.6,121
1778421806,24,10949,52,67.22,36,4.05,15.7,95.5,121
1778421808,46,10949,50,46.12,35,4.05,19.2,95.4,121
1778421810,19,10949,51,60.88,34,4.05,22.9,95.3,121
1778421812,19,10949,51,47.94,33,3.97,23.4,95.2,121
1778421814,46,10949,49,56.60,31,3.97,16.5,95.3,121
1778421816,8,10949,50,44.51,30,3.81,17.6,95.2,121
1778421818,24,10949,49,57.46,30,3.81,12.8,95.2,121
1778421820,45,10949,48,44.31,30,3.81,15.1,95.3,121
1778421821,6,10949,49,53.81,30,3.66,20.5,95.1,
1778421823,17,10921,48,48.46,30,3.66,13.6,95.1,121
1778421825,45,10921,47,44.22,30,3.66,13.8,95.2,121
1778421827,36,10921,47,56.66,30,3.37,16.8,95.1,121
1778421829,11,10921,48,43.75,30,3.37,14.5,95.1,121
1778421831,24,10921,50,55.37,30,3.37,20.5,94.4,121
1778421833,27,10921,47,42.20,30,3.42,14.4,94.4,121
1778421834,47,10921,46,44.37,30,3.42,14.4,94.5,121
1778421836,9,10921,47,56.86,30,3.39,16.2,94.4,121
1778421838,46,10921,45,42.59,0,3.39,13.2,94.4,121
1778421840,25,10921,46,44.31,0,3.39,17.7,94.6,121
1778421842,23,10921,47,52.14,0,3.12,15.1,94.5,121
1778421843,46,10921,46,43.28,0,3.12,23.3,95.2,121
1778421845,23,10921,47,53.43,0,3.12,15.6,95.2,121
1778421847,45,10921,46,47.49,0,3.35,13.1,95.1,121
1778421849,10,10921,48,46.30,0,3.35,16.0,95.3,121
1778421851,46,10921,47,54.15,0,3.24,13.1,95.1,121
1778421853,36,10921,48,44.33,0,3.24,19.8,95.2,121
1778421855,7,10921,49,62.11,0,3.24,14.3,95.3,121
1778421857,32,10921,48,58.97,0,3.38,17.1,95.1,121
1778421859,15,10921,48,50.31,0,3.38,13.7,95.1,121
1778421860,22,10921,49,45.29,0,3.38,17.6,95.2,121
1778421862,46,10921,48,44.78,0,3.19,20.4,95.1,121
1778421864,10,10921,49,59.72,0,3.19,14.0,95.1,121
1778421866,5,10921,48,40.48,0,3.19,15.0,95.1,121
1778421868,3,9049,48,34.56,0,3.09,24.5,95.2,121
1778421869,29,9143,49,49.13,0,3.09,14.8,95.3,121
1778421871,3,9143,48,34.09,0,3.00,14.1,95.2,121
1778421873,99,11145,63,121.19,0,3.00,20.6,95.2,121
1778421875,96,11145,64,149.96,0,3.00,15.9,95.2,121
1778421876,47,11145,51,73.70,0,2.92,15.4,95.1,121
1778421878,46,11145,50,44.31,0,2.92,15.1,95.1,121
1778421880,46,11145,51,45.88,0,2.92,14.3,95.2,121
1778421882,39,11145,51,70.21,0,3.01,18.7,95.1,121
1778421884,24,11145,53,49.06,0,3.01,14.5,95.1,121
1778421886,47,11145,50,45.90,0,3.81,28.3,95.2,121
1778421888,38,11145,50,43.54,0,3.81,14.8,95.1,121
1778421890,25,11145,54,55.54,0,3.81,14.2,95.2,121
1778421892,10,11145,53,43.12,0,3.50,14.0,95.1,121
1778421894,24,11145,52,59.85,0,3.50,16.2,95.1,121
1778421896,30,11145,51,42.26,0,3.50,16.3,95.2,121
1778421897,14,11145,51,42.24,0,3.30,15.9,95.1,121
1778421899,38,11145,51,44.74,0,3.30,25.4,95.4,121
1778421901,48,11145,53,43.76,0,3.36,14.0,95.1,121
1778421903,23,11145,53,51.49,0,3.36,14.7,95.1,121
1778421905,46,11145,53,53.34,0,3.36,15.2,95.2,121
1778421907,24,11145,52,41.88,0,3.25,15.5,95.0,121
1778421909,44,11145,52,43.79,0,3.25,17.7,95.0,121
1778421910,46,11145,53,45.54,0,3.25,14.0,95.1,121
1778421912,25,11145,52,43.51,0,3.07,17.1,95.0,121
1778421914,21,11145,52,43.42,0,3.07,15.0,95.0,121
1778421916,33,11145,52,43.35,0,3.07,15.5,95.0,121
1778421918,47,11145,53,42.87,0,3.46,20.4,95.0,121
1778421919,31,11145,53,41.01,0,3.46,13.7,95.1,121
1778421921,41,11145,53,41.28,0,3.35,19.1,95.0,121
1778421923,22,11145,52,44.04,0,3.35,14.8,94.9,121
1778421925,47,11145,54,44.68,0,3.35,14.4,95.1,121
1778421927,12,11145,53,56.01,0,3.16,13.8,95.0,121
1778421929,18,11145,53,45.92,0,3.16,14.8,94.9,121
1778421931,46,11145,53,44.69,0,3.16,18.7,94.9,121
1778421933,17,11145,53,45.26,0,3.39,15.7,94.9,121
1778421934,45,11145,53,52.53,0,3.39,19.4,95.1,121
1778421936,24,11145,55,48.10,0,3.43,13.7,94.9,121
1778421938,19,11145,54,50.08,0,3.43,15.8,94.9,121
1778421940,26,11145,53,43.71,0,3.43,14.3,95.0,121
1778421942,48,11145,54,44.50,0,3.16,14.3,94.9,121
1778421944,24,11145,54,50.26,0,3.16,17.3,94.9,121
1778421946,5,11145,54,53.54,0,3.16,15.9,94.8,121
1778421948,4,11145,55,70.36,0,3.31,15.6,94.9,121
1778421950,25,11145,56,48.22,0,3.31,19.0,94.5,121
1778421952,26,11161,54,49.86,0,3.20,14.2,94.3,121
1778421954,45,11161,55,43.03,0,3.20,15.6,94.5,121
1778421956,24,11161,55,50.50,0,3.20,17.6,94.7,121
1778421957,48,11161,55,51.14,0,3.10,20.8,94.5,121
1778421959,47,11161,55,45.06,0,3.10,20.6,94.6,121
1778421961,47,11161,56,44.52,0,3.18,13.5,94.5,121
1778421963,15,1193,55,48.80,0,3.18,13.2,94.5,121
1778421965,27,9159,55,51.96,0,3.18,16.7,94.7,121
1778421967,3,9159,54,35.09,0,3.40,14.3,94.6,121
1778421968,96,11111,63,150.35,0,3.40,16.8,94.6,121
1778421970,3,11111,59,136.77,30,3.40,14.6,94.7,121
1778421972,15,11111,56,68.34,30,3.53,14.5,94.5,121
1778421974,46,11111,54,47.12,30,3.53,20.8,94.5,121
1778421976,46,11111,55,60.20,31,3.53,14.8,94.8,121
1778421977,41,11111,53,46.19,32,3.33,14.0,94.7,121
1778421979,24,11111,57,60.74,33,3.33,17.4,94.8,121
1778421981,45,11111,54,46.15,33,3.14,14.2,95.5,121
1778421983,31,11111,52,44.36,33,3.14,17.9,95.3,121
1778421985,17,11111,51,57.16,33,3.14,13.9,95.4,121
1778421987,46,11111,52,44.07,33,4.41,14.3,95.4,121
1778421988,46,11111,50,46.35,32,4.41,13.8,95.4,121
1778421990,24,11111,51,75.67,31,4.41,13.4,95.5,121
1778421992,46,11111,49,45.82,30,4.46,22.6,95.4,121
1778421994,23,11111,49,55.00,30,4.46,15.2,95.4,121
1778421996,46,11111,49,44.78,30,4.46,15.3,95.3,121
1778421998,13,1012,48,45.16,30,4.42,17.7,95.3,121
1778421999,3,8861,48,40.31,30,4.42,15.1,95.3,121
1778422001,4,8861,47,41.60,30,4.39,22.1,95.2,121
1778422003,96,10961,61,93.04,30,4.39,15.2,95.2,121
1778422005,100,10961,61,153.66,30,4.39,19.3,95.3,121
1778422007,95,10961,54,149.98,30,4.20,13.8,95.2,121
1778422009,4,10961,50,71.34,30,4.20,22.7,95.3,121
1778422011,46,10961,49,40.86,30,3.94,13.8,94.6,121
1778422013,6,10961,48,40.55,30,3.94,14.1,94.7,121
1778422015,45,10961,46,41.63,30,3.94,15.0,94.9,121
1778422017,6,10961,47,40.32,30,4.26,15.0,94.7,121
1778422018,46,10961,45,40.51,30,4.26,20.5,94.8,121
1778422020,23,10961,45,40.39,30,4.26,14.3,94.9,121
1778422022,21,10961,45,38.38,30,4.24,13.8,94.8,121
1778422024,45,10961,44,39.89,30,4.24,18.4,94.7,121
1778422026,42,10961,44,40.41,30,4.24,14.8,94.9,121
1778422027,6,10961,46,39.07,0,4.14,19.4,94.7,121
1778422029,46,10961,44,40.36,0,4.14,16.2,94.8,121
1778422032,21,10961,45,39.90,0,4.05,14.5,94.7,121
