ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421486,,,,,,3.01,33.5,96.3,129
1778421488,,,,,,3.01,29.2,96.8,129
1778421489,,,,,,3.01,21.3,96.7,134
1778421490,,,,,,3.01,21.3,96.9,134
1778421492,,,,,,3.01,21.1,96.7,134
1778421493,,,,,,3.01,21.1,97.0,134
1778421494,,,,,,3.01,54.6,97.3,134
1778421495,,,,,,3.01,13.0,97.5,134
1778421497,,,,,,3.09,21.1,97.4,134
1778421498,,,,,,3.09,17.1,97.4,134
1778421499,,,,,,3.09,14.5,97.4,134
1778421501,,,,,,3.09,16.4,97.6,134
1778421502,,,,,,8.61,14.2,98.0,134
1778421503,,,,,,8.61,13.1,98.3,134
1778421505,,,,,,8.61,13.4,98.5,134
1778421506,,,,,,8.61,15.9,98.4,134
1778421507,,,,,,8.24,19.2,97.6,134
1778421508,,,,,,8.24,12.2,97.6,134
1778421510,,,,,,8.24,18.3,97.7,134
1778421511,,,,,,8.24,13.3,97.7,134
1778421512,,,,,,7.98,13.1,97.6,134
1778421514,,,,,,7.98,11.7,97.6,134
1778421515,,,,,,7.98,11.5,97.7,134
1778421516,,,,,,7.42,12.5,97.7,134
1778421518,,,,,,7.42,12.4,97.6,134
1778421519,,,,,,7.42,16.7,97.6,134
1778421520,,,,,,7.42,13.1,97.7,134
1778421521,,,,,,6.91,13.6,97.6,134
1778421523,,,,,,6.91,15.7,95.3,134
1778421524,,,,,,6.91,11.2,95.3,134
1778421525,,,,,,6.91,13.3,95.6,134
1778421527,,,,,,6.67,12.3,95.4,134
1778421528,,,,,,6.67,11.8,95.4,134
1778421529,,,,,,6.67,10.7,95.3,134
1778421530,,,,,,6.67,14.5,95.5,134
1778421532,,,,,,6.22,11.7,95.3,134
1778421533,,,,,,6.22,10.4,95.3,134
1778421534,,,,,,6.22,14.2,95.3,134
1778421536,,,,,,6.22,12.1,95.5,134
1778421537,,,,,,5.80,10.8,95.3,135
1778421538,,,,,,5.80,13.7,95.3,135
1778421540,,,,,,5.80,11.7,95.3,135
1778421541,,,,,,5.80,10.4,95.4,135
1778421542,,,,,,5.58,18.5,95.4,135
1778421543,,,,,,5.58,18.5,96.6,135
1778421545,,,,,,5.58,10.5,97.0,135
1778421546,,,,,,5.58,18.8,96.9,135
1778421547,,,,,,5.29,10.3,96.8,135
1778421549,,,,,,5.29,9.1,96.8,135
1778421550,,,,,,5.29,14.6,97.0,135
1778421551,,,,,,4.87,11.4,96.9,135
1778421553,,,,,,4.87,10.5,96.8,135
1778421554,,,,,,4.87,17.0,96.8,135
1778421555,,,,,,4.87,10.7,97.0,135
1778421557,,,,,,4.72,9.3,96.8,135
1778421558,,,,,,4.72,10.5,96.8,135
1778421559,,,,,,4.72,11.5,96.8,135
1778421561,,,,,,4.72,11.1,96.9,135
1778421562,,,,,,4.34,10.4,96.8,135
1778421563,,,,,,4.34,16.8,96.8,135
1778421564,,,,,,4.34,12.7,96.8,135
1778421566,,,,,,4.34,9.3,96.9,135
