ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778454268,94,7479,64,206.97,43,1.58,12.1,92.5,120
1778454270,95,7479,64,206.92,42,1.58,7.4,92.7,120
1778454272,94,7479,64,207.30,42,1.53,7.0,92.8,120
1778454273,95,7479,65,207.21,42,1.53,7.5,92.8,120
1778454275,96,7479,65,208.18,42,1.53,7.6,92.8,120
1778454277,95,7479,65,207.65,42,1.49,7.7,92.8,120
1778454279,95,7479,65,208.33,42,1.49,7.3,92.8,120
1778454281,94,7479,65,208.49,42,1.45,8.3,92.8,120
1778454283,95,7479,65,209.47,42,1.45,7.6,92.7,120
1778454285,95,7479,65,209.95,42,1.45,6.8,92.7,120
1778454287,93,7479,66,210.12,42,1.65,11.1,92.7,120
1778454288,95,7479,66,210.11,42,1.65,10.6,93.0,120
1778454290,95,7479,66,210.14,43,1.65,7.5,92.7,120
1778454292,95,7479,66,210.66,42,1.52,7.6,92.7,120
1778454294,95,7479,66,210.35,42,1.52,8.3,92.7,120
1778454296,95,7479,66,210.49,42,1.52,7.1,92.7,120
1778454298,95,7479,66,210.87,43,1.40,6.2,92.7,120
1778454299,95,7479,66,210.75,43,1.40,10.9,92.7,120
1778454301,96,7479,66,211.45,43,1.40,7.3,92.7,120
1778454303,95,7479,67,211.57,43,1.37,7.1,92.7,120
1778454305,95,7479,67,211.77,43,1.37,7.2,92.7,120
1778454306,95,7479,67,211.95,43,1.37,7.6,92.7,120
1778454308,95,7479,67,211.53,43,1.34,6.7,92.5,120
1778454310,95,7479,67,211.97,43,1.34,7.3,92.7,120
1778454312,95,7479,67,211.79,43,1.39,7.2,92.6,120
1778454313,95,7479,67,212.10,43,1.39,7.6,92.6,120
1778454315,95,7479,67,212.00,43,1.39,7.6,92.6,120
1778454317,95,7479,67,211.86,43,1.36,8.5,92.4,120
1778454318,96,7479,67,212.12,43,1.36,8.2,92.4,120
1778454320,96,7479,67,212.25,44,1.36,7.3,92.4,120
1778454322,95,7479,67,212.38,44,1.33,7.7,91.8,120
1778454324,96,7479,67,212.19,44,1.33,12.2,91.8,120
1778454325,95,7479,67,212.40,44,1.33,7.0,91.9,120
1778454327,96,7479,67,212.91,44,1.30,6.3,91.9,120
1778454329,95,7479,67,213.16,44,1.30,7.5,91.9,120
1778454331,95,7479,67,213.35,44,1.30,6.3,91.9,120
1778454332,96,7479,67,213.10,45,1.52,7.2,91.9,120
1778454334,96,7479,67,213.23,45,1.52,7.2,91.9,120
1778454336,95,7479,67,213.12,45,1.52,6.1,91.9,120
1778454337,95,7479,67,213.35,45,1.56,7.3,91.8,120
1778454339,96,7479,67,212.89,45,1.56,7.6,91.9,120
1778454341,95,7479,67,213.57,45,1.56,7.1,91.9,120
1778454343,96,7479,67,213.35,45,1.59,7.2,92.0,120
1778454344,95,7479,67,213.53,45,1.59,8.0,92.0,120
1778454346,96,7479,67,213.82,45,1.59,7.4,91.9,120
1778454348,95,7479,67,214.02,45,1.62,6.5,91.9,120
1778454349,95,7479,67,213.75,46,1.62,7.7,91.9,120
1778454351,96,7479,67,213.90,46,1.62,7.4,92.0,120
1778454353,96,7479,67,213.92,46,1.57,7.5,92.8,120
1778454354,95,7479,67,214.07,46,1.57,12.9,92.7,120
1778454356,96,7479,67,213.89,46,1.57,7.5,92.7,120
1778454358,96,7479,67,214.27,46,1.53,7.6,92.6,120
1778454360,96,7479,67,214.57,46,1.53,7.3,92.5,120
1778454361,95,7479,68,214.43,46,1.53,6.8,92.6,120
1778454363,96,7479,67,214.67,46,1.48,7.6,92.7,120
1778454365,96,7479,67,214.63,46,1.48,7.3,92.7,120
1778454366,95,7479,67,214.28,46,1.48,7.7,92.6,120
1778454368,95,7479,67,214.28,46,1.45,7.5,92.6,120
1778454370,96,7479,68,214.58,46,1.45,6.5,92.5,120
1778454372,96,7479,67,214.73,46,1.45,7.5,92.5,120
1778454373,95,7479,67,214.97,46,1.41,7.1,92.5,120
1778454375,96,7479,68,215.28,46,1.41,6.2,92.6,120
1778454377,95,7479,67,215.17,46,1.41,7.2,92.6,120
1778454379,96,7479,67,214.37,46,1.38,6.6,92.6,120
1778454380,96,7479,68,215.23,46,1.38,8.2,92.6,120
1778454382,95,7479,67,215.43,46,1.38,8.0,92.5,120
1778454384,96,7479,67,215.18,46,1.43,6.7,91.9,120
1778454385,96,7479,67,215.22,47,1.43,10.8,91.8,120
1778454387,96,7479,67,215.10,46,1.43,7.0,91.9,120
1778454389,96,7479,67,207.23,47,1.39,7.4,91.9,120
1778454391,96,7479,67,206.78,47,1.39,6.5,91.9,120
1778454392,96,7479,66,206.76,47,1.44,8.8,92.0,120
1778454394,96,7479,67,205.77,47,1.44,7.4,91.9,120
1778454396,96,7479,66,206.24,47,1.44,7.0,91.9,120
1778454398,96,7479,67,205.56,47,1.48,7.6,91.9,120
1778454399,95,7479,66,205.30,47,1.48,7.0,92.0,120
1778454401,96,7479,66,204.85,47,1.48,7.6,92.0,120
1778454403,97,7479,66,206.59,47,1.37,7.8,91.9,120
1778454404,96,7479,66,206.58,47,1.37,9.0,92.1,120
1778454406,96,7479,66,206.91,47,1.37,7.3,91.9,120
1778454408,97,7479,67,206.72,47,1.26,7.7,92.0,120
1778454410,96,7479,66,206.35,47,1.26,6.5,91.9,120
1778454412,96,7479,66,206.04,47,1.26,17.2,92.5,120
1778454414,96,7479,67,206.35,47,1.32,11.6,92.6,120
