ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778437745,30,10732,51,20.25,0,2.01,8.3,87.3,119
1778437746,22,10732,54,72.85,0,2.09,12.7,88.1,119
1778437748,40,10732,53,48.45,0,2.09,7.3,88.4,119
1778437750,32,10732,53,41.14,0,2.08,6.8,88.2,119
1778437752,30,10732,53,40.98,0,2.08,6.4,88.1,119
1778437753,31,10732,53,40.72,0,2.08,6.9,88.2,119
1778437755,32,10732,53,39.82,0,2.08,8.7,88.1,119
1778437757,43,10732,52,40.11,0,2.08,6.2,88.2,119
1778437759,43,10732,53,39.99,0,2.08,8.6,88.3,119
1778437760,43,10732,53,39.60,0,2.15,7.2,88.0,119
1778437762,44,10732,53,39.40,0,2.15,8.2,88.1,119
1778437764,32,10732,53,39.29,0,2.15,7.1,88.2,119
1778437766,44,10732,53,39.62,0,2.22,7.7,88.0,119
1778437767,34,10732,53,39.19,0,2.22,6.2,88.1,119
1778437769,45,10732,53,39.49,0,2.22,11.8,88.1,119
1778437771,33,10732,53,39.56,0,2.12,6.9,88.0,119
1778437773,33,10732,53,39.34,0,2.12,7.7,88.0,119
1778437774,46,10732,53,39.86,0,2.12,7.1,87.9,119
1778437776,33,10732,54,39.54,0,2.19,7.4,87.9,119
1778437778,32,10732,53,39.48,0,2.19,8.4,88.1,119
1778437780,41,10732,54,39.53,0,2.19,7.4,88.0,119
1778437781,34,10732,53,39.43,0,2.18,7.4,87.9,119
1778437783,32,10732,53,39.49,0,2.18,6.2,88.0,119
1778437785,34,10732,54,39.73,0,2.18,7.4,87.9,119
1778437787,44,10732,54,39.86,0,2.08,6.4,88.0,119
1778437789,38,10732,54,39.41,0,2.08,7.4,88.0,119
1778437791,45,10732,53,39.82,0,2.23,6.8,87.8,119
1778437792,34,10732,54,39.76,0,2.23,8.2,87.8,119
1778437794,42,10732,54,39.83,0,2.23,7.2,87.9,119
1778437796,34,10732,54,39.69,0,2.22,7.9,87.8,119
1778437798,34,10732,54,39.52,0,2.22,8.7,88.0,119
1778437800,37,10732,53,39.45,0,2.22,6.4,87.9,119
1778437801,33,10732,54,39.66,0,2.04,7.0,88.0,119
1778437803,32,10732,54,40.04,0,2.04,6.2,88.0,119
1778437805,34,10732,54,39.69,0,2.04,6.2,87.9,119
1778437806,33,10732,54,39.29,0,2.03,7.1,87.8,119
1778437808,40,10732,54,39.60,0,2.03,6.5,88.0,119
1778437810,41,10732,54,40.20,0,2.03,7.2,87.8,119
1778437812,34,10732,54,40.40,0,1.95,6.1,87.8,119
1778437814,32,10732,54,40.39,0,1.95,10.7,87.9,119
1778437815,40,10732,54,39.78,0,2.12,6.4,87.8,119
1778437817,46,10732,54,40.15,0,2.12,7.6,87.8,119
1778437819,41,10732,54,39.91,0,2.12,7.7,88.0,119
1778437821,33,10732,54,39.79,0,2.11,7.8,87.8,119
1778437822,33,10732,55,40.22,0,2.11,7.6,87.8,119
1778437824,40,10732,55,40.33,0,2.11,7.1,88.1,119
1778437826,36,10732,54,39.84,0,2.02,7.4,88.0,119
1778437828,39,10732,55,39.81,0,2.02,7.3,87.8,119
1778437829,46,10732,55,40.28,0,2.02,7.6,88.0,119
