ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778457640,95,7494,62,204.29,0,3.36,15.6,73.2,120
1778457642,94,7494,63,205.48,30,3.57,19.7,73.5,120
1778457643,95,7494,63,205.85,30,3.57,21.1,73.4,120
1778457645,95,7494,64,206.47,30,3.57,13.6,73.3,120
1778457647,95,7494,64,207.13,30,3.52,17.3,73.3,120
1778457648,95,7494,64,207.23,31,3.52,17.2,73.4,120
1778457650,95,7494,65,206.29,33,3.52,19.5,73.3,120
1778457652,94,7494,65,205.87,34,3.48,14.5,73.1,120
1778457654,95,7494,65,206.25,35,3.48,16.2,73.3,120
1778457655,94,7494,65,206.84,36,3.44,14.9,73.3,120
1778457657,94,7494,66,207.28,36,3.44,15.4,73.2,120
1778457659,95,7494,65,207.53,37,3.44,15.5,73.2,120
1778457660,95,7494,66,207.88,37,3.17,13.2,73.2,120
1778457662,95,7494,66,207.79,38,3.17,17.4,73.2,120
1778457664,95,7494,66,208.59,38,3.17,15.3,73.0,120
1778457666,95,7494,66,207.71,39,3.79,13.3,73.1,120
1778457667,95,7494,66,208.33,39,3.79,18.9,73.4,120
1778457669,95,7494,66,208.57,39,3.79,15.1,73.2,120
1778457671,95,7494,66,208.56,40,3.89,16.6,73.1,120
1778457672,96,7494,66,208.92,40,3.89,17.7,73.4,120
1778457674,94,7494,66,209.21,40,3.89,14.1,73.2,120
1778457676,95,7494,66,209.50,41,3.74,14.1,73.1,120
1778457677,95,7494,66,209.47,41,3.74,16.1,73.4,120
1778457679,95,7494,66,209.58,41,3.74,16.3,73.2,120
1778457681,95,7494,67,209.15,41,3.60,12.2,73.4,120
1778457683,95,7494,66,209.65,41,3.60,11.6,73.5,120
1778457684,95,7494,66,209.16,42,3.60,12.2,73.3,120
1778457686,95,7494,67,208.94,42,3.55,14.6,73.2,120
1778457688,96,7494,66,209.39,42,3.55,14.1,73.3,120
1778457689,96,7494,67,210.12,42,3.55,18.1,73.2,120
1778457691,95,7494,66,210.05,42,3.35,15.6,73.2,120
1778457693,95,7494,67,210.13,42,3.35,14.8,73.4,120
1778457694,95,7494,67,210.05,43,3.35,17.1,73.3,120
1778457696,94,7494,67,210.18,43,3.40,17.3,73.3,120
1778457698,95,7494,67,210.27,43,3.40,12.3,73.4,120
1778457699,95,7494,67,210.77,43,3.40,15.5,73.4,120
1778457701,96,7494,67,212.54,43,3.21,15.8,73.2,120
1778457703,95,7494,67,212.36,43,3.21,16.5,73.3,120
1778457704,96,7494,67,212.72,43,3.21,13.8,73.3,120
1778457706,95,7494,67,212.43,43,3.03,22.0,73.3,120
1778457708,95,7494,67,212.46,43,3.03,13.1,73.5,120
1778457710,95,7494,67,212.38,44,3.03,16.7,73.2,120
1778457712,95,7494,67,213.04,44,3.11,14.1,73.2,120
1778457713,95,7494,67,213.70,44,3.11,16.4,73.4,120
1778457715,95,7494,67,213.06,44,3.18,14.8,73.2,120
1778457717,94,7494,67,212.99,44,3.18,14.4,73.2,120
1778457719,96,7494,67,213.24,44,3.18,14.5,73.2,120
1778457721,96,7494,67,213.21,44,3.32,21.2,73.3,120
1778457722,95,7494,67,212.95,45,3.32,13.9,73.2,120
1778457724,95,7494,67,213.40,45,3.32,17.5,73.1,120
1778457726,95,7494,67,213.30,45,3.38,14.9,73.1,120
1778457727,96,7494,67,213.74,45,3.38,16.0,73.2,120
1778457729,96,7494,67,213.80,45,3.38,16.8,73.1,120
1778457731,95,7494,67,214.28,45,3.27,15.8,73.2,120
1778457732,96,7494,67,214.29,45,3.27,13.8,73.3,120
1778457734,95,7494,67,214.07,45,3.27,15.9,73.1,120
1778457736,96,7494,67,214.47,45,3.17,14.5,73.3,120
1778457737,95,7494,67,214.11,45,3.17,17.5,73.4,120
1778457739,96,7494,67,214.69,45,3.17,16.4,73.2,120
1778457741,95,7494,67,214.99,45,3.07,18.1,73.5,120
1778457742,96,7494,67,214.48,45,3.07,24.4,73.8,120
1778457744,95,7494,67,214.88,45,3.07,17.3,73.6,120
1778457746,95,7494,67,214.73,45,2.99,17.2,73.7,120
1778457747,96,7494,67,214.90,46,2.99,17.4,73.8,120
1778457749,96,7494,67,214.64,45,2.99,17.7,73.7,120
1778457751,96,7494,67,214.99,46,3.07,18.6,73.9,120
1778457753,94,7494,67,215.43,45,3.07,17.4,73.9,120
1778457754,96,7494,67,215.21,46,3.07,17.7,73.8,120
