ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778413776,36,11369,48,18.62,0,2.65
1778413777,80,11369,52,77.40,0,2.65
1778413779,18,11369,51,67.89,0,2.52
1778413780,29,11369,50,54.23,0,2.52
1778413782,28,11369,50,35.13,0,2.52
1778413783,32,11369,50,34.83,0,2.56
1778413785,25,11369,50,33.61,0,2.56
1778413786,38,11369,50,33.28,0,2.56
1778413788,35,11369,50,32.99,0,2.56
1778413789,40,11369,50,32.70,0,2.43
1778413791,30,11369,50,32.44,0,2.43
1778413792,32,11369,50,32.44,0,2.43
1778413793,33,11369,50,32.40,0,2.56
1778413795,41,11369,50,32.57,0,2.56
1778413796,39,11369,50,32.24,0,2.56
1778413798,41,11369,50,32.50,0,2.56
1778413799,39,11369,50,32.60,0,2.51
1778413801,43,11369,51,32.35,0,2.51
1778413802,37,11369,50,32.08,0,2.51
1778413803,32,11369,50,32.53,0,2.55
1778413805,37,11369,50,32.42,0,2.55
1778413806,36,11369,50,32.42,0,2.55
1778413808,42,11369,50,32.80,0,2.55
1778413809,44,11369,50,32.47,0,2.75
1778413811,37,11369,50,32.25,0,2.75
1778413812,33,11369,50,32.53,0,2.75
1778413814,33,11369,50,32.57,0,2.69
1778413815,43,11369,51,32.92,0,2.69
1778413816,33,11369,50,33.01,0,2.69
1778413818,33,11369,50,32.60,0,2.69
1778413819,33,11369,50,32.46,0,2.63
1778413821,35,11369,50,32.37,0,2.63
1778413822,35,11369,50,32.64,0,2.63
1778413824,33,11369,50,32.42,0,2.50
1778413825,41,11369,51,32.16,0,2.50
1778413827,41,11369,51,32.21,0,2.50
1778413828,36,11369,50,32.50,0,2.50
1778413829,37,11369,51,32.24,0,2.86
1778413831,35,11369,51,32.31,0,2.86
1778413832,38,11369,51,32.42,0,2.86
1778413834,34,11369,51,32.48,0,2.79
1778413835,35,11369,51,32.69,0,2.79
1778413837,36,11369,51,32.22,0,2.79
1778413838,38,11369,51,32.72,0,2.89
1778413840,38,11369,51,32.45,0,2.89
1778413841,38,11369,51,32.73,0,2.89
1778413843,37,11369,51,32.11,0,2.89
1778413844,38,11369,51,32.43,0,2.74
1778413845,39,11369,51,32.52,0,2.74
1778413847,38,11369,51,32.16,0,2.74
1778413848,38,11369,51,32.21,0,2.60
1778413850,38,11369,51,32.24,0,2.60
1778413851,37,11369,51,32.42,0,2.60
1778413853,39,11369,51,32.53,0,2.60
1778413854,40,11369,51,32.31,0,2.55
1778413856,38,11369,51,32.65,0,2.55
