ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778432662,33,10929,45,20.88,0,3.05,10.0,81.7,119
1778432663,20,10929,50,74.89,0,3.05,8.4,81.7,119
1778432665,29,10929,46,37.12,0,3.05,9.3,81.7,119
1778432667,30,10929,47,39.44,0,2.88,8.2,81.7,119
1778432669,35,10929,47,38.87,0,2.88,8.8,81.7,119
1778432670,30,10929,47,38.01,0,2.88,12.8,81.7,119
1778432672,42,10929,47,38.07,0,2.81,9.6,81.7,119
1778432674,39,10929,48,37.81,0,2.81,9.8,81.8,119
1778432676,44,10929,47,37.68,0,2.81,11.1,81.7,119
1778432678,39,10929,47,37.84,0,2.67,9.5,81.8,119
1778432680,40,10929,47,37.81,0,2.67,9.0,81.6,119
1778432681,45,10929,48,37.60,0,2.53,8.0,81.5,119
1778432683,37,10929,48,37.33,0,2.53,12.0,81.9,119
1778432685,33,10929,47,37.29,0,2.53,8.9,81.6,119
1778432687,37,10929,48,37.63,0,2.57,10.3,81.7,119
1778432688,45,10929,48,38.09,0,2.57,11.1,81.8,119
1778432690,39,10929,49,37.67,0,2.57,8.5,81.6,119
1778432692,33,10929,48,37.66,0,2.52,8.8,81.3,119
1778432694,39,10929,48,37.90,0,2.52,9.5,81.3,119
1778432695,34,10929,48,37.54,0,2.52,9.4,81.3,119
1778432697,38,10929,48,37.53,0,2.40,8.3,81.3,119
1778432699,44,10929,49,37.80,0,2.40,9.8,81.4,119
1778432701,32,10929,48,37.72,0,2.40,15.7,81.5,119
1778432702,42,10929,49,38.11,0,2.29,7.9,81.6,119
1778432704,33,10929,49,37.74,0,2.29,10.8,81.4,119
1778432706,7,10929,48,33.24,0,2.19,10.1,81.1,119
1778432708,20,10929,51,72.61,0,2.19,9.3,81.3,119
1778432710,38,10929,50,41.22,0,2.19,9.8,81.2,119
1778432712,35,10929,50,40.34,0,2.09,10.2,81.2,119
