ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778433960,33,10732,47,19.53,0,3.17,8.6,88.0,119
1778433961,21,10732,51,71.21,0,3.00,6.3,88.1,119
1778433963,36,10732,50,46.80,0,3.00,6.8,88.1,119
1778433965,39,10732,49,40.41,0,3.00,7.5,88.0,119
1778433967,38,10732,50,40.39,0,2.76,10.5,88.2,119
1778433968,37,10732,50,40.24,0,2.76,7.2,88.0,119
1778433970,31,10732,49,40.06,0,2.76,7.1,87.9,119
1778433972,43,10732,50,39.22,0,2.62,6.5,88.0,119
1778433974,32,10732,49,38.86,0,2.62,11.1,88.1,119
1778433975,32,10732,49,38.53,0,2.62,6.8,88.0,119
1778433977,37,10732,50,38.77,0,2.49,7.7,88.0,119
1778433979,38,10732,50,38.71,0,2.49,7.2,88.2,119
1778433981,42,10732,50,38.87,0,2.49,7.0,88.2,119
1778433982,33,10732,50,38.20,0,2.37,9.7,88.3,119
1778433984,34,10732,50,38.59,0,2.37,8.1,88.1,119
1778433986,43,10732,51,39.05,0,2.42,8.1,88.1,119
1778433988,43,10732,51,34.67,0,2.42,7.8,88.3,119
1778433990,34,10732,50,38.13,0,2.42,6.6,88.0,119
1778433992,46,10732,51,38.90,0,2.46,11.5,88.1,119
1778433994,32,10732,50,38.69,0,2.46,7.5,88.2,119
1778433995,39,10732,50,38.89,0,2.46,6.8,88.2,119
1778433997,41,10732,51,38.57,0,2.51,7.1,87.5,119
1778433999,34,10732,50,38.85,0,2.51,7.8,87.4,119
1778434001,40,10732,51,38.97,0,2.51,8.8,87.4,119
1778434002,32,10732,50,38.71,0,2.39,7.8,87.3,119
1778434004,43,10732,51,38.96,0,2.39,7.6,87.1,119
1778434006,33,10732,51,38.73,0,2.39,6.7,87.1,119
1778434008,42,10732,51,38.70,0,2.27,7.7,87.2,119
1778434010,38,10732,51,39.09,0,2.27,7.7,87.1,119
1778434012,41,10732,52,39.31,0,2.25,7.5,87.2,119
1778434013,37,10732,51,38.93,0,2.25,8.2,87.3,119
1778434015,40,10732,52,39.19,0,2.25,7.4,87.2,119
1778434017,37,10732,51,39.07,0,2.23,8.0,87.2,119
1778434019,34,10732,51,39.11,0,2.23,6.9,87.3,119
1778434021,39,10732,52,39.00,0,2.23,8.6,87.4,119
1778434022,45,10732,52,38.93,0,2.13,6.5,87.1,119
1778434024,34,10732,51,39.22,0,2.13,6.8,87.3,119
1778434026,32,10732,51,39.13,0,2.13,8.3,87.4,119
1778434027,38,10732,52,39.16,0,2.60,14.7,88.3,119
1778434029,46,10732,52,39.17,0,2.60,7.8,88.0,119
1778434031,34,10732,52,39.38,0,2.60,7.8,87.9,119
1778434033,34,10732,51,39.42,0,2.47,8.3,88.2,119
1778434034,34,10732,52,39.38,0,2.47,8.8,87.9,119
1778434036,34,10732,52,39.51,0,2.47,6.8,87.8,119
1778434038,32,10732,52,39.68,0,2.36,7.8,87.9,119
1778434040,44,10732,52,39.42,0,2.36,6.1,87.9,119
1778434042,41,10732,52,39.18,0,2.33,7.8,88.0,119
1778434043,45,10732,52,39.55,0,2.33,7.3,88.0,119
1778434045,43,10732,52,39.38,0,2.33,8.2,87.9,119
1778434047,40,10732,52,39.53,0,2.22,7.3,87.9,119
1778434048,39,10732,53,39.39,0,2.22,7.8,88.1,119
1778434050,40,10732,52,39.82,0,2.22,7.1,87.8,119
1778434052,46,10732,53,39.62,0,2.20,6.6,87.9,119
1778434054,7,10732,52,37.47,0,2.20,8.3,88.2,119
1778434055,23,10732,55,73.26,0,2.20,7.0,88.1,119
1778434057,34,10732,54,53.69,0,2.11,6.9,87.4,119
1778434059,38,10732,53,41.86,0,2.11,14.8,87.4,119
1778434061,54,10732,53,38.40,0,2.11,7.2,87.3,119
