ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778458691,94,8116,65,209.23,35,2.78,10.0,77.2,120
1778458693,95,8116,65,209.61,34,2.78,12.5,77.6,120
1778458695,95,8116,65,209.76,34,2.78,8.2,77.4,120
1778458696,3,1412,57,186.22,35,2.95,9.4,77.2,120
1778458698,12,5635,53,49.48,36,2.95,11.6,77.4,120
1778458700,99,7746,66,107.91,37,2.95,11.7,77.3,120
1778458702,94,7746,65,212.26,37,3.04,11.8,77.2,120
1778458703,94,7746,65,213.35,36,3.04,11.1,77.3,120
1778458705,95,7746,66,214.12,36,3.04,10.6,77.2,120
1778458707,95,7746,66,213.85,37,3.03,12.6,77.3,120
1778458709,94,7746,66,214.22,38,3.03,12.5,77.3,120
1778458710,95,7746,66,214.77,39,3.03,9.8,77.2,120
1778458712,94,7746,67,214.28,40,3.19,17.4,76.7,120
1778458714,51,11229,55,54.24,41,3.19,8.8,77.2,120
1778458715,3,11229,54,53.65,41,3.19,8.2,76.8,120
1778458717,25,11446,55,96.08,41,3.02,9.7,76.8,120
1778458719,23,1444,54,68.83,41,3.02,8.4,76.9,120
1778458721,29,10505,52,51.61,40,3.02,8.8,76.8,120
1778458722,29,10514,51,42.42,39,2.85,9.4,76.7,120
1778458724,96,10724,63,210.12,37,2.85,9.2,76.5,120
1778458726,96,10724,64,211.19,35,2.62,8.5,76.7,120
1778458728,96,10724,64,211.83,35,2.62,8.6,76.6,120
1778458729,96,10724,65,212.14,34,2.62,7.5,76.5,120
1778458731,97,10724,65,212.54,34,2.81,9.3,76.5,120
1778458733,97,10724,65,212.99,35,2.81,9.2,76.8,120
1778458734,97,10724,66,213.80,36,2.81,8.2,76.7,120
1778458736,98,10724,66,214.21,37,2.67,8.7,76.4,120
1778458738,3,1444,57,180.33,38,2.67,8.6,76.8,120
1778458740,28,7929,54,53.26,39,2.67,8.4,76.6,120
1778458741,95,7935,65,200.59,39,2.70,7.7,76.5,120
1778458743,95,7935,65,210.02,39,2.70,9.2,76.7,120
1778458745,95,7935,66,210.38,39,2.70,9.3,76.6,120
1778458747,94,7935,66,210.36,40,2.48,8.3,76.5,120
1778458748,94,7935,66,210.61,40,2.48,18.2,76.5,120
1778458750,95,7935,66,210.87,40,2.48,8.6,76.5,120
1778458752,7,7267,55,64.58,40,2.28,7.5,76.0,120
1778458754,95,7710,65,178.82,40,2.28,16.3,76.2,120
1778458755,95,7710,65,207.69,40,2.28,9.4,76.4,120
1778458757,94,7710,66,208.03,40,2.26,8.6,76.5,120
1778458759,95,7710,66,208.48,40,2.26,8.7,76.4,120
1778458761,94,7710,66,208.13,40,2.26,7.6,76.2,120
1778458762,94,7710,67,208.58,40,2.56,10.8,76.3,120
1778458764,94,7710,67,208.71,40,2.56,7.7,76.2,120
1778458766,95,7710,66,209.37,41,2.56,9.2,76.3,120
1778458768,95,7710,67,209.20,41,2.43,7.9,76.3,120
1778458769,94,7710,67,209.64,42,2.43,7.3,76.2,120
1778458771,94,7710,67,210.64,42,2.32,12.1,76.3,120
1778458773,94,7710,67,210.63,42,2.32,8.4,76.3,120
1778458775,95,7710,67,210.67,43,2.32,8.9,76.0,120
1778458776,94,7710,67,211.10,43,4.05,14.6,80.4,120
1778458778,95,7710,67,210.77,43,4.05,12.9,80.1,120
1778458780,94,7710,68,211.48,44,4.05,12.3,79.4,120
1778458781,95,7710,67,211.55,44,4.21,20.2,79.3,120
1778458783,93,7710,67,212.22,44,4.21,11.6,79.6,120
1778458785,95,7696,68,211.69,44,4.21,12.5,79.5,120
1778458787,95,7696,67,212.19,45,4.03,12.5,79.3,120
1778458788,95,7696,67,211.85,45,4.03,11.5,79.4,120
1778458790,95,7696,67,212.69,45,4.03,12.7,79.4,120
1778458792,95,7696,68,212.38,45,3.95,12.5,79.3,120
1778458793,95,7696,68,212.24,45,3.95,12.8,79.3,120
1778458795,95,7696,68,212.16,45,3.95,11.4,79.4,120
1778458797,95,7696,68,212.33,46,3.79,12.8,79.4,120
1778458799,95,7696,68,212.09,46,3.79,12.1,79.2,120
1778458800,95,7696,68,212.57,46,3.79,12.0,79.3,120
1778458802,95,7696,68,212.56,46,4.21,12.7,79.5,120
