ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401138,,,,,,2.93
1778401139,,,,,,2.85
1778401140,,,,,,2.85
1778401141,,,,,,2.85
1778401142,,,,,,2.85
1778401143,,,,,,2.85
1778401144,,,,,,2.71
1778401145,,,,,,2.71
1778401147,,,,,,2.71
1778401148,,,,,,2.71
1778401149,,,,,,2.71
1778401150,,,,,,2.73
1778401151,,,,,,2.73
1778401152,,,,,,2.73
1778401153,,,,,,2.73
1778401154,,,,,,2.73
1778401155,,,,,,2.67
1778401156,,,,,,2.67
1778401157,,,,,,2.67
1778401158,,,,,,2.67
1778401159,,,,,,2.67
1778401160,,,,,,2.46
1778401161,,,,,,2.46
1778401162,,,,,,2.46
1778401163,,,,,,2.46
1778401164,,,,,,2.46
1778401165,,,,,,2.34
1778401166,,,,,,2.34
1778401167,,,,,,2.34
1778401168,,,,,,2.34
1778401169,,,,,,2.34
1778401170,,,,,,2.39
1778401171,,,,,,2.39
1778401172,,,,,,2.39
1778401173,,,,,,2.39
1778401174,,,,,,2.28
1778401175,,,,,,2.28
1778401176,,,,,,2.28
1778401177,,,,,,2.28
1778401178,,,,,,2.28
1778401179,,,,,,2.10
1778401180,,,,,,2.10
1778401181,,,,,,2.10
1778401182,,,,,,2.10
1778401183,,,,,,2.10
1778401185,,,,,,2.17
1778401186,,,,,,2.17
1778401187,,,,,,2.17
1778401188,,,,,,2.17
1778401189,,,,,,2.17
1778401190,,,,,,2.08
1778401191,,,,,,2.08
1778401192,,,,,,2.08
1778401193,,,,,,2.08
1778401194,,,,,,2.08
1778401195,,,,,,1.99
1778401196,,,,,,1.99
1778401197,,,,,,1.99
1778401198,,,,,,1.99
1778401199,,,,,,1.99
1778401200,,,,,,2.23
1778401201,,,,,,2.23
1778401202,,,,,,2.23
1778401203,,,,,,2.23
1778401204,,,,,,2.23
1778401205,,,,,,2.21
1778401206,,,,,,2.21
1778401207,,,,,,2.21
1778401208,,,,,,2.21
1778401209,,,,,,2.21
1778401210,,,,,,2.19
1778401211,,,,,,2.19
1778401212,,,,,,2.19
1778401213,,,,,,2.19
1778401214,,,,,,2.19
1778401215,,,,,,2.10
1778401216,,,,,,2.10
1778401217,,,,,,2.10
1778401218,,,,,,2.10
1778401219,,,,,,2.09
1778401220,,,,,,2.09
1778401221,,,,,,2.09
1778401222,,,,,,2.09
1778401224,,,,,,2.09
1778401225,,,,,,2.40
1778401226,,,,,,2.40
1778401227,,,,,,2.40
1778401228,,,,,,2.40
1778401229,,,,,,2.40
1778401230,,,,,,2.53
1778401231,,,,,,2.53
1778401232,,,,,,2.53
1778401233,,,,,,2.53
1778401234,,,,,,2.53
1778401235,,,,,,2.73
1778401236,,,,,,2.73
1778401237,,,,,,2.73
1778401238,,,,,,2.73
1778401239,,,,,,2.73
1778401240,,,,,,2.67
1778401241,,,,,,2.67
1778401242,,,,,,2.67
1778401243,,,,,,2.67
1778401244,,,,,,2.67
1778401245,,,,,,2.54
1778401246,,,,,,2.54
1778401247,,,,,,2.54
1778401248,,,,,,2.54
1778401249,,,,,,2.54
1778401250,,,,,,2.57
1778401251,,,,,,2.57
1778401252,,,,,,2.57
1778401253,,,,,,2.57
1778401254,,,,,,2.57
1778401255,,,,,,2.45
1778401256,,,,,,2.45
1778401257,,,,,,2.45
1778401258,,,,,,2.45
1778401259,,,,,,2.45
1778401260,,,,,,2.25
1778401261,,,,,,2.25
1778401262,,,,,,2.25
1778401263,,,,,,2.25
1778401264,,,,,,2.15
1778401265,,,,,,2.15
1778401267,,,,,,2.15
1778401268,,,,,,2.15
1778401269,,,,,,2.15
1778401270,,,,,,2.14
1778401271,,,,,,2.14
1778401272,,,,,,2.14
1778401273,,,,,,2.14
1778401274,,,,,,2.14
1778401275,,,,,,2.29
1778401276,,,,,,2.29
1778401277,,,,,,2.29
1778401278,,,,,,2.29
1778401279,,,,,,2.29
1778401280,,,,,,2.26
1778401281,,,,,,2.26
1778401282,,,,,,2.26
1778401283,,,,,,2.26
1778401284,,,,,,2.26
1778401285,,,,,,2.40
1778401286,,,,,,2.40
1778401287,,,,,,2.40
1778401288,,,,,,2.40
1778401289,,,,,,2.40
1778401290,,,,,,2.29
1778401291,,,,,,2.29
1778401292,,,,,,2.29
1778401293,,,,,,2.29
1778401294,,,,,,2.29
1778401295,,,,,,2.27
1778401296,,,,,,2.27
1778401297,,,,,,2.27
1778401298,,,,,,2.27
1778401299,,,,,,2.27
1778401300,,,,,,2.24
1778401301,,,,,,2.24
1778401303,,,,,,2.24
1778401304,,,,,,2.24
1778401305,,,,,,2.22
1778401306,,,,,,2.22
1778401307,,,,,,2.22
1778401308,,,,,,2.22
1778401309,,,,,,2.22
1778401310,,,,,,2.37
1778401311,,,,,,2.37
1778401312,,,,,,2.37
1778401313,,,,,,2.37
1778401314,,,,,,2.37
1778401315,,,,,,2.26
1778401316,,,,,,2.26
1778401317,,,,,,2.26
1778401318,,,,,,2.26
1778401319,,,,,,2.26
1778401320,,,,,,2.40
1778401321,,,,,,2.40
1778401322,,,,,,2.40
1778401323,,,,,,2.40
1778401324,,,,,,2.40
1778401325,,,,,,2.36
1778401326,,,,,,2.36
1778401327,,,,,,2.36
1778401328,,,,,,2.36
1778401329,,,,,,2.36
1778401330,,,,,,2.58
1778401331,,,,,,2.58
1778401332,,,,,,2.58
1778401333,,,,,,2.58
1778401334,,,,,,2.58
1778401335,,,,,,2.61
1778401336,,,,,,2.61
1778401337,,,,,,2.61
1778401338,,,,,,2.61
1778401339,,,,,,2.61
1778401340,,,,,,2.48
1778401341,,,,,,2.48
1778401342,,,,,,2.48
1778401343,,,,,,2.48
1778401344,,,,,,2.48
1778401345,,,,,,2.60
1778401346,,,,,,2.60
1778401347,,,,,,2.60
1778401348,,,,,,2.60
1778401349,,,,,,2.60
1778401350,,,,,,2.55
