ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778431107,35,10928,53,20.47,0,3.43,11.6,81.5,119
1778431109,17,10928,57,60.19,0,3.43,11.5,81.6,119
1778431111,39,10928,55,58.45,0,3.31,10.8,81.7,119
1778431113,33,10928,54,41.56,0,3.31,11.5,81.6,119
1778431115,34,10928,55,41.10,0,3.31,11.9,81.7,119
1778431116,37,10928,55,41.17,0,3.29,12.0,81.5,119
1778431118,39,10928,55,40.63,0,3.29,12.6,81.0,119
1778431120,35,10928,55,40.48,0,3.29,12.1,80.9,119
1778431122,31,10928,54,40.21,0,4.07,12.4,81.1,119
1778431123,31,10928,54,39.72,0,4.07,14.7,81.2,119
1778431125,35,10928,55,39.62,0,3.74,10.7,80.9,119
1778431127,33,10928,54,39.24,0,3.74,12.7,80.9,119
1778431129,47,10928,55,39.83,0,3.74,11.8,81.1,119
1778431130,41,10928,55,39.56,0,3.60,12.3,80.9,119
1778431132,33,10928,54,39.30,0,3.60,12.4,80.8,119
1778431134,33,10928,55,39.70,0,3.60,11.5,81.1,119
1778431136,41,10928,55,40.00,0,3.47,11.5,81.0,119
1778431137,48,10928,55,40.07,0,3.47,12.4,80.9,119
1778431139,37,10928,55,39.59,0,3.47,11.5,81.0,119
1778431141,33,10928,55,39.43,0,3.35,12.0,81.0,119
1778431143,43,10928,55,40.07,0,3.35,12.8,81.1,119
1778431145,36,10928,55,39.67,0,3.35,21.1,81.6,119
1778431146,32,10928,55,39.56,0,3.25,23.1,81.7,119
1778431148,40,10928,55,39.80,0,3.25,12.7,81.8,119
1778431150,44,10928,55,39.51,0,3.15,11.7,81.9,119
1778431152,35,10928,55,39.85,0,3.15,11.2,81.6,119
1778431154,45,10928,56,39.79,0,3.15,13.8,81.7,119
1778431155,37,10928,55,39.71,0,3.05,12.6,81.6,119
1778431157,33,10928,55,39.48,0,3.05,11.2,81.8,119
1778431159,33,10928,55,39.47,0,3.05,11.0,81.9,119
1778431161,34,10928,55,39.88,0,2.89,10.8,81.7,119
1778431163,38,10928,56,40.05,0,2.89,12.3,81.8,119
1778431164,32,10928,55,39.97,0,2.89,12.4,81.7,119
1778431166,40,10928,55,39.88,0,2.82,11.9,81.6,119
1778431168,34,10928,55,39.89,0,2.82,11.4,81.7,119
1778431170,35,10928,55,40.00,0,2.82,11.1,81.5,119
1778431171,45,10928,56,40.42,0,2.75,11.7,81.5,119
1778431173,32,10928,55,40.13,0,2.75,10.7,81.8,119
1778431175,45,10928,56,40.57,0,2.75,11.6,81.8,119
1778431177,34,10928,55,40.17,0,3.01,13.3,81.7,119
1778431178,33,10928,55,40.35,0,3.01,11.8,81.8,119
1778431180,33,10928,55,40.19,0,2.93,11.7,81.5,119
1778431182,39,10928,56,40.00,0,2.93,10.9,81.5,119
1778431184,38,10928,56,40.68,0,2.93,13.1,81.6,119
1778431186,33,10928,55,40.24,0,2.86,12.7,81.5,119
