ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778453662,95,7493,64,207.45,44,2.28,12.4,92.1,120
1778453664,95,7493,64,206.96,43,2.28,10.7,92.4,120
1778453666,95,7493,65,208.24,43,2.34,6.9,92.4,120
1778453667,95,7493,65,208.42,43,2.34,7.4,92.4,120
1778453669,95,7493,65,208.46,43,2.34,9.8,92.4,120
1778453671,95,7493,65,208.42,43,2.55,7.4,92.4,120
1778453673,96,7493,65,208.83,43,2.55,7.1,92.4,120
1778453675,95,7493,65,209.45,43,2.55,7.5,92.4,120
1778453676,95,7493,65,209.81,43,2.43,8.1,92.4,120
1778453678,95,7493,65,210.01,43,2.43,6.8,92.3,120
1778453680,95,7493,65,210.64,43,2.43,7.7,92.3,120
1778453682,95,7493,66,210.42,43,2.31,8.4,92.3,120
1778453683,96,7493,66,210.41,43,2.31,7.4,92.3,120
1778453685,96,7493,66,210.95,43,2.31,6.5,92.4,120
1778453687,95,7493,66,211.36,44,2.21,15.6,92.5,120
1778453689,94,7493,66,210.54,44,2.21,9.8,92.4,120
1778453690,96,7493,66,211.30,44,2.19,8.1,92.3,120
1778453692,95,7493,66,211.18,44,2.19,8.6,92.1,120
1778453694,95,7493,67,211.92,44,2.19,6.9,92.1,120
1778453696,95,7493,67,211.54,44,2.17,7.4,92.1,120
1778453697,95,7493,67,211.66,44,2.17,8.0,92.1,120
1778453699,96,7493,67,211.65,44,2.17,7.2,92.2,120
1778453701,95,7493,67,212.17,44,2.16,7.2,92.2,120
1778453703,95,7493,67,211.96,44,2.16,20.2,92.3,120
1778453704,95,7493,67,212.21,44,2.16,7.2,92.3,120
1778453706,95,7493,67,212.22,44,1.99,7.5,92.1,120
1778453708,95,7493,67,212.36,44,1.99,8.2,92.1,120
1778453710,95,7493,67,212.39,44,1.99,7.2,92.1,120
1778453711,95,7493,67,213.01,44,1.91,7.8,92.1,120
1778453713,95,7493,67,212.66,44,1.91,6.7,92.2,120
1778453715,95,7493,67,212.68,44,1.91,7.4,92.2,120
1778453717,95,7493,67,212.79,44,1.75,8.2,92.0,120
1778453718,96,7493,67,212.68,44,1.75,7.1,92.0,120
1778453720,95,7493,67,213.00,44,1.75,7.5,92.1,120
1778453722,95,7493,67,212.61,44,1.69,6.5,91.4,120
1778453724,95,7493,67,212.68,45,1.69,7.0,91.4,120
1778453725,96,7493,67,213.21,45,1.69,6.8,91.4,120
1778453727,95,7493,67,212.90,45,2.20,6.3,91.6,120
1778453729,95,7493,67,213.03,45,2.20,7.5,91.5,120
1778453731,95,7493,67,212.86,45,2.20,6.6,91.5,120
1778453732,95,7493,67,213.09,45,2.10,7.7,91.5,120
1778453734,95,7493,67,213.50,45,2.10,6.6,91.4,120
1778453736,96,7493,67,213.63,45,2.09,7.0,91.4,120
1778453738,95,7493,67,213.57,45,2.09,6.7,91.4,120
1778453739,95,7493,67,213.81,45,2.09,7.0,91.5,120
1778453741,95,7493,67,214.21,46,2.17,7.2,91.5,120
1778453743,95,7493,67,213.94,46,2.17,7.5,91.6,120
1778453745,96,7479,68,213.64,46,2.17,7.0,91.5,120
1778453746,95,7479,68,214.07,46,2.15,7.2,91.6,120
1778453748,96,7479,67,214.04,46,2.15,6.8,91.4,120
1778453750,96,7479,67,214.25,46,2.15,7.2,91.4,120
1778453752,96,7479,67,213.71,46,2.22,7.5,91.5,120
1778453753,96,7479,67,214.30,46,2.22,11.7,92.6,120
1778453755,95,7479,67,213.64,46,2.22,6.8,92.2,120
1778453757,95,7479,67,214.15,46,2.12,7.7,92.2,120
1778453759,96,7479,67,214.65,46,2.12,6.6,92.2,120
1778453760,96,7479,67,214.49,46,2.12,7.3,92.2,120
1778453762,96,7479,67,215.15,46,2.03,7.4,92.1,120
1778453764,95,7479,67,214.64,46,2.03,7.1,92.0,120
1778453766,96,7479,68,214.76,46,2.03,6.3,91.9,120
1778453767,95,7479,67,214.39,46,2.11,7.8,92.0,120
1778453769,96,7479,67,215.25,46,2.11,13.3,92.0,120
1778453771,96,7479,67,214.91,46,2.11,7.4,92.0,120
1778453773,96,7479,67,215.03,46,2.18,7.6,92.0,120
1778453774,95,7479,67,215.36,46,2.18,7.8,92.0,120
1778453776,96,7479,67,215.20,46,2.18,6.4,91.9,120
1778453778,95,7479,67,215.19,47,2.09,7.0,91.9,120
1778453780,96,7479,67,214.63,47,2.09,6.8,91.9,120
1778453781,96,7479,67,212.68,47,2.16,7.1,91.9,120
1778453783,96,7479,67,206.34,47,2.16,7.4,91.4,120
1778453785,96,7479,66,207.12,47,2.16,7.2,91.4,120
1778453786,96,7479,67,207.04,47,2.15,7.5,91.4,120
1778453788,95,7479,66,205.62,47,2.15,7.0,91.4,120
1778453790,95,7479,67,205.07,47,2.15,7.5,91.2,120
1778453792,95,7479,67,205.25,47,2.85,7.3,91.3,120
1778453793,95,7479,66,205.78,47,2.85,7.1,91.4,120
1778453795,96,7479,67,207.06,47,2.85,7.2,91.3,120
1778453797,96,7479,67,205.84,47,2.87,7.6,91.3,120
1778453799,97,7479,66,205.33,47,2.87,6.8,91.3,120
1778453800,96,7479,66,205.48,47,2.87,8.1,91.3,120
1778453802,97,7479,66,205.61,47,2.88,6.6,91.3,120
1778453804,96,7479,67,205.35,47,2.88,7.5,91.2,120
1778453806,96,7479,66,204.89,47,2.88,6.3,91.2,120
1778453807,96,7479,66,205.28,47,2.65,7.2,91.3,120
1778453809,95,7479,66,206.20,47,2.65,7.0,91.3,120
1778453811,96,7479,66,205.65,47,2.65,6.8,91.3,120
1778453813,97,7479,66,206.71,47,2.67,7.1,92.1,120
1778453814,96,7479,66,206.18,47,2.67,7.8,92.0,120
1778453816,97,7479,66,205.82,47,2.67,7.6,91.9,120
1778453818,96,7479,66,205.92,47,2.54,7.5,91.8,120
1778453820,96,7479,66,205.45,47,2.54,7.1,92.0,120
1778453821,97,7479,66,206.49,47,2.54,7.1,92.0,120
1778453823,96,7479,66,206.43,47,2.58,6.9,92.0,120
1778453825,96,7479,66,204.87,47,2.58,6.6,92.0,120
1778453827,96,7479,66,205.17,47,2.53,7.6,92.0,120
1778453828,97,7479,66,205.95,47,2.53,7.3,91.9,120
1778453830,96,7479,66,206.58,47,2.53,6.9,91.9,120
1778453832,97,7479,66,206.17,47,2.49,6.7,91.8,120
1778453834,96,7479,66,206.31,47,2.49,6.8,91.8,120
1778453836,96,7479,66,206.62,47,2.49,7.8,92.0,120
1778453837,96,7479,66,206.45,47,2.53,7.2,92.0,120
1778453839,96,7479,66,206.44,47,2.53,6.7,92.0,120
1778453841,96,7479,66,205.85,47,2.53,7.6,92.0,120
1778453843,97,7479,66,206.21,47,2.41,8.2,91.3,120
1778453844,96,7479,66,204.99,47,2.41,7.7,91.3,120
1778453846,96,7479,66,205.96,47,2.41,8.3,91.3,120
1778453848,96,7479,66,205.15,47,2.29,6.8,91.2,120
1778453850,96,7479,66,205.63,47,2.29,6.5,91.4,120
1778453851,97,7479,66,205.15,47,2.29,7.3,91.3,120
1778453853,97,7479,66,204.69,47,2.27,6.6,91.4,120
1778453855,96,7479,66,205.34,47,2.27,7.0,91.3,120
1778453857,97,7479,66,205.99,47,2.25,7.8,91.4,120
1778453859,97,7479,66,205.14,47,2.25,7.5,91.4,120
1778453860,95,7479,66,204.41,47,2.25,7.0,91.3,120
1778453862,96,7479,66,206.07,47,2.23,7.0,91.4,120
1778453864,97,7479,66,205.99,47,2.23,7.5,91.2,120
1778453866,96,7479,66,204.98,47,2.23,6.8,91.3,120
1778453867,95,7479,66,204.80,47,2.21,7.6,91.4,120
1778453869,97,7479,66,205.99,47,2.21,7.2,91.3,120
1778453871,96,7479,66,204.15,47,2.21,7.5,91.3,120
1778453873,96,7479,66,205.94,47,2.11,6.8,92.1,120
1778453874,97,7479,66,204.81,47,2.11,7.3,92.2,120
1778453876,96,7479,66,206.29,47,2.11,7.3,92.0,120
1778453878,97,7479,66,204.61,47,2.10,7.4,91.9,120
1778453880,96,7479,66,205.21,47,2.10,6.6,92.0,120
1778453881,95,7479,65,204.50,47,2.10,7.2,92.0,120
1778453883,97,7479,65,206.05,47,2.17,7.7,92.0,120
1778453885,96,7479,66,204.20,47,2.17,7.3,92.0,120
1778453887,96,7479,65,204.63,47,2.17,6.2,92.0,120
1778453888,95,7479,65,205.28,47,2.16,7.3,92.0,120
1778453890,97,7479,66,205.65,47,2.16,6.6,91.9,120
1778453892,96,7479,66,205.25,47,2.16,7.7,91.9,120
1778453894,96,7479,66,205.90,47,2.15,7.1,92.1,120
