ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778452450,95,7494,65,208.44,44,1.36,13.3,91.7,120
1778452452,95,7494,65,208.40,44,1.36,7.8,91.9,120
1778452453,95,7494,65,208.53,44,1.41,7.8,91.9,120
1778452455,95,7494,65,208.99,44,1.41,7.2,91.9,120
1778452457,95,7494,65,209.26,44,1.41,8.0,91.9,120
1778452459,95,7494,65,209.05,44,1.46,7.0,91.9,120
1778452460,95,7494,65,209.74,44,1.46,9.9,91.9,120
1778452462,96,7494,66,209.52,44,1.46,13.8,91.9,120
1778452464,95,7494,66,209.39,44,1.42,13.1,91.9,120
1778452466,95,7494,66,210.25,44,1.42,13.2,91.8,120
1778452468,95,7494,66,210.85,44,1.42,12.9,91.9,120
1778452470,96,7494,66,210.92,44,1.39,15.7,91.9,120
1778452471,96,7494,66,211.13,44,1.39,14.0,91.9,120
1778452473,96,7494,66,211.12,44,1.39,13.3,91.9,120
1778452475,95,7494,66,211.48,44,1.36,20.4,91.9,120
1778452477,95,7494,66,211.41,44,1.36,14.7,91.9,120
1778452479,95,7494,66,211.43,45,1.73,13.5,91.9,120
1778452481,95,7494,66,211.60,44,1.73,13.1,91.9,120
1778452482,95,7494,67,211.72,44,1.73,14.5,91.9,120
1778452484,95,7494,66,212.25,45,1.67,12.6,91.8,120
1778452486,95,7494,66,212.03,45,1.67,14.3,91.9,120
1778452488,95,7494,67,211.75,45,1.67,14.6,92.0,120
1778452489,95,7494,67,212.20,45,1.70,13.4,91.8,120
1778452491,95,7494,67,211.68,45,1.70,13.6,91.8,120
1778452493,95,7494,67,212.14,45,1.70,13.8,91.8,120
1778452495,95,7494,67,211.78,45,1.64,13.7,91.7,120
1778452496,95,7494,67,212.02,45,1.64,12.6,91.7,120
1778452498,95,7494,67,212.60,45,1.67,13.6,91.7,120
1778452500,95,7494,67,213.09,45,1.67,13.5,91.7,120
1778452503,95,7494,67,212.72,45,1.67,13.7,91.7,120
1778452504,96,7494,67,213.13,45,1.77,14.7,91.6,120
1778452506,95,7494,67,213.07,45,1.77,13.9,91.6,120
1778452508,96,7494,67,213.28,45,1.77,13.9,91.6,120
1778452510,95,7494,67,212.84,45,1.71,6.9,91.6,120
1778452511,95,7494,67,213.21,45,1.71,8.0,91.5,120
1778452513,95,7494,67,213.08,45,1.71,6.5,91.5,120
1778452515,96,7494,67,213.34,45,1.65,7.4,91.5,120
1778452517,95,7494,67,212.78,45,1.65,7.8,91.3,120
1778452518,95,7494,67,213.25,45,1.65,7.2,91.2,120
1778452520,95,7494,67,213.01,45,1.60,8.2,91.2,120
1778452522,95,7494,67,213.11,45,1.60,7.3,90.6,120
1778452524,95,7494,67,213.23,45,1.71,7.3,90.7,120
1778452525,95,7494,67,213.69,45,1.71,8.7,90.6,120
1778452527,95,7494,67,213.61,45,1.71,6.7,90.6,120
1778452529,95,7494,67,213.72,45,1.66,7.3,90.6,120
1778452531,95,7494,67,214.18,45,1.66,6.7,90.6,120
1778452532,96,7494,67,214.00,45,1.66,8.0,90.6,120
1778452534,95,7494,67,213.84,46,1.68,6.7,90.6,120
1778452536,95,7494,67,213.53,45,1.68,7.5,90.6,120
1778452538,96,7494,67,213.83,46,1.68,7.3,90.6,120
1778452539,95,7494,67,213.90,46,1.71,7.6,90.6,120
1778452541,95,7494,67,214.14,46,1.71,7.3,90.6,120
1778452543,96,7494,67,213.98,46,1.71,7.5,90.6,120
1778452544,95,7494,67,214.26,46,1.81,7.8,90.6,120
1778452546,96,7494,68,214.30,46,1.81,7.5,90.6,120
1778452548,95,7494,67,214.54,46,1.81,6.6,90.5,120
1778452550,96,7494,67,214.23,46,1.91,6.3,90.5,120
1778452551,95,7494,67,214.30,46,1.91,7.5,90.5,120
1778452553,95,7494,67,214.58,46,1.91,7.7,91.3,120
1778452555,95,7494,67,214.86,46,1.75,6.9,91.2,120
1778452557,97,7494,67,215.08,46,1.75,7.1,91.2,120
1778452559,96,7494,67,215.13,46,1.75,6.2,91.2,120
1778452560,95,7494,67,215.27,46,1.77,7.7,91.2,120
1778452562,95,7494,67,215.00,46,1.77,7.3,91.2,120
1778452564,95,7494,67,214.95,46,1.77,6.3,91.1,120
1778452566,95,7494,67,215.54,46,1.71,8.5,91.2,120
1778452568,96,7494,67,215.50,46,1.71,7.7,91.1,120
1778452570,96,7494,67,212.37,46,1.73,7.3,91.1,120
1778452571,96,7494,67,207.31,46,1.73,11.3,91.1,120
1778452573,96,7494,67,207.13,46,1.73,7.2,91.2,120
1778452575,96,7494,66,206.39,46,1.75,6.7,91.2,120
1778452577,97,7494,66,206.98,46,1.75,7.1,91.2,120
1778452578,96,7494,66,207.11,46,1.75,7.1,91.2,120
1778452580,97,7494,66,207.26,46,1.69,7.1,91.1,120
1778452582,96,7494,66,207.06,46,1.69,8.1,91.2,120
1778452584,96,7494,66,207.27,46,1.69,7.3,90.5,120
1778452585,96,7494,66,207.06,46,1.64,6.8,90.7,120
1778452587,96,7494,67,207.20,46,1.64,6.6,90.6,120
1778452589,95,7494,66,205.42,46,1.64,9.4,90.4,120
1778452591,96,7494,66,206.29,46,1.67,7.6,90.5,120
1778452592,96,7494,66,206.19,46,1.67,7.5,90.6,120
1778452594,96,7494,67,207.01,46,1.67,8.1,90.4,120
1778452596,96,7494,67,206.93,46,1.61,14.6,90.4,120
1778452598,96,7494,67,206.87,47,1.61,7.2,90.4,120
1778452599,97,7494,66,207.01,46,1.61,7.3,90.4,120
1778452601,96,7494,66,205.75,46,1.56,6.9,90.5,120
1778452603,96,7494,66,205.74,47,1.56,7.3,90.5,120
1778452605,96,7494,66,206.48,47,1.68,7.2,90.5,120
1778452607,97,7494,66,206.12,46,1.68,7.7,90.5,120
1778452608,96,7494,66,206.63,46,1.68,7.8,90.4,120
1778452610,96,7494,66,206.71,46,1.70,7.5,90.4,120
1778452612,96,7494,66,205.41,46,1.70,13.9,91.2,120
1778452614,96,7494,66,205.91,47,1.70,5.3,90.9,120
1778452616,96,7494,66,206.29,46,1.73,6.2,90.9,120
1778452618,97,7494,66,206.55,46,1.73,8.2,91.0,120
1778452620,97,7494,66,206.57,46,1.75,7.6,91.0,120
1778452623,96,7494,66,206.38,46,1.75,6.3,91.1,120
1778452625,96,7494,66,206.55,47,1.69,7.1,91.0,120
1778452627,96,7494,66,206.35,46,1.69,6.6,91.1,120
1778452629,96,7494,66,206.53,47,1.69,6.8,91.0,120
1778452630,96,7494,66,206.65,47,1.79,7.7,91.0,120
1778452632,97,7494,66,205.85,46,1.79,6.4,90.9,120
1778452634,96,7494,66,206.51,46,1.79,6.9,90.9,120
1778452636,96,7494,66,206.60,46,1.89,6.9,90.9,120
1778452637,96,7494,66,206.56,46,1.89,7.1,90.9,120
1778452639,96,7494,66,206.34,47,1.89,6.7,90.9,120
1778452641,97,7494,66,206.46,46,1.82,7.1,91.0,120
1778452643,96,7494,66,206.54,46,1.82,8.7,90.4,120
1778452645,96,7494,66,206.13,47,1.82,7.7,90.4,120
1778452647,96,7494,66,205.28,46,1.75,7.2,90.4,120
1778452648,96,7494,66,206.21,46,1.75,7.8,90.4,120
1778452651,95,7494,66,204.81,47,1.77,6.6,90.4,120
1778452652,96,7494,66,205.87,46,1.77,7.8,90.4,120
1778452654,96,7494,66,206.43,46,1.77,7.5,90.3,120
1778452656,96,7494,66,205.42,46,1.71,7.8,90.3,120
1778452658,97,7494,66,206.44,46,1.71,6.9,90.3,120
1778452659,96,7494,66,206.56,46,1.71,8.8,90.3,120
1778452661,96,7494,66,206.50,47,1.65,7.5,90.4,120
1778452663,96,7494,66,205.46,46,1.65,6.6,90.4,120
1778452665,95,7494,66,205.08,46,1.65,8.3,90.4,120
1778452667,97,7494,66,206.55,46,1.60,7.3,90.4,120
1778452668,97,7494,66,206.52,46,1.60,8.0,90.4,120
1778452670,97,7494,66,206.49,46,1.60,6.8,90.3,120
1778452672,96,7494,66,206.51,46,1.55,19.7,90.9,120
1778452674,95,7494,66,205.17,46,1.55,11.7,90.9,120
1778452675,97,7494,66,206.34,46,1.59,6.7,91.0,120
1778452677,96,7494,66,205.61,47,1.59,12.7,91.1,120
1778452679,96,7494,66,205.63,46,1.59,7.1,91.0,120
1778452681,96,7494,66,206.38,46,1.62,6.4,91.1,120
1778452682,96,7494,66,206.47,46,1.62,8.2,91.1,120
1778452684,96,7494,66,205.54,46,1.62,7.1,91.1,120
1778452686,97,7494,66,205.84,47,1.57,7.2,91.1,120
1778452688,96,7494,66,206.42,46,1.57,6.8,91.1,120
1778452690,96,7494,66,206.40,46,1.57,6.4,91.0,120
1778452692,96,7494,66,206.48,46,1.69,6.4,91.0,120
1778452693,96,7494,66,206.13,46,1.69,7.3,91.1,120
1778452695,96,7494,66,206.46,46,1.69,6.5,91.1,120
1778452697,96,7494,66,204.74,46,1.63,7.4,91.1,120
1778452699,96,7494,66,204.97,46,1.63,6.8,91.1,120
1778452700,97,7494,66,206.28,46,1.58,7.3,91.1,120
1778452702,96,7494,66,205.31,46,1.58,8.3,90.5,120
1778452704,96,7494,66,204.96,46,1.58,7.3,90.4,120
1778452706,96,7494,66,206.83,46,1.53,7.3,90.5,120
1778452708,96,7494,66,206.44,46,1.53,7.0,90.4,120
1778452710,96,7494,66,206.40,46,1.53,7.5,90.4,120
1778452712,96,7494,66,206.50,46,1.49,6.7,90.5,120
1778452713,96,7494,66,205.13,46,1.49,7.4,90.5,120
1778452715,97,7494,66,206.37,46,1.49,7.5,90.5,120
1778452717,96,7494,66,205.15,46,1.45,6.3,90.5,120
1778452718,96,7494,66,206.03,47,1.45,7.1,90.5,120
1778452720,96,7494,66,205.43,46,1.45,6.8,90.5,120
1778452722,96,7494,66,206.09,46,1.57,7.3,90.3,120
1778452724,97,7494,66,206.48,46,1.57,7.4,90.3,120
1778452725,96,7494,66,205.32,46,1.57,7.9,90.4,120
1778452727,96,7494,66,205.83,46,1.45,7.1,90.4,120
1778452729,97,7494,66,206.28,46,1.45,7.7,90.4,120
1778452731,96,7494,66,206.27,46,1.45,6.5,90.5,120
1778452732,96,7494,66,205.36,46,1.41,9.6,91.4,120
1778452734,96,7494,65,204.91,46,1.41,8.0,91.3,120
1778452736,97,7494,66,206.63,46,1.54,6.8,91.2,120
1778452738,96,7494,66,204.61,46,1.54,7.3,91.2,120
1778452739,96,7494,66,205.14,46,1.54,9.5,91.3,120
1778452741,97,7494,66,206.20,46,1.66,7.3,91.3,120
1778452743,96,7494,66,206.22,46,1.66,7.2,91.4,120
1778452745,96,7494,66,206.54,46,1.66,6.6,91.4,120
1778452747,96,7494,66,205.12,46,1.68,7.5,91.4,120
1778452749,96,7494,66,205.59,46,1.68,7.1,91.4,120
1778452750,96,7494,66,204.86,46,1.68,7.4,91.4,120
1778452752,97,7494,66,204.81,46,1.79,9.0,91.3,120
1778452754,97,7494,66,206.48,46,1.79,7.3,91.3,120
1778452756,97,7494,66,206.64,46,1.79,6.9,91.4,120
1778452757,95,7494,66,205.78,46,1.72,6.8,91.4,120
1778452759,96,7494,66,205.96,46,1.72,17.2,91.5,120
1778452761,97,7494,66,205.36,46,1.72,8.1,91.5,120
1778452763,96,7494,66,206.54,46,1.67,11.4,91.5,120
1778452764,96,7494,66,206.61,46,1.67,7.7,91.5,120
1778452766,96,7494,66,206.01,46,1.67,7.3,91.3,120
1778452768,97,7494,66,206.82,46,1.61,7.5,91.4,120
1778452770,96,7494,66,206.66,46,1.61,7.4,91.5,120
1778452771,97,7494,66,206.85,46,1.56,6.8,91.5,120
1778452773,97,7494,66,206.84,46,1.56,7.4,91.5,120
1778452775,96,7494,66,205.33,46,1.56,7.7,91.5,120
1778452777,96,7494,66,206.81,46,1.60,7.0,91.4,120
1778452779,96,7494,66,206.77,46,1.60,7.7,91.4,120
1778452781,96,7494,66,206.62,46,1.60,7.6,91.6,120
1778452782,96,7494,66,205.58,46,1.63,8.1,91.5,120
1778452784,96,7494,66,206.43,46,1.63,11.3,91.3,120
1778452786,96,7494,66,206.04,46,1.63,7.0,91.3,120
1778452788,95,7494,66,205.89,46,1.58,7.5,91.5,120
1778452789,97,7494,66,206.12,46,1.58,11.8,91.6,120
1778452791,97,7494,66,206.87,46,1.58,6.8,91.4,120
1778452793,96,7494,66,206.58,46,1.53,6.9,91.4,120
1778452795,96,7494,66,206.67,46,1.53,6.9,91.4,120
1778452796,97,7494,66,206.84,46,1.53,7.7,91.4,120
1778452798,97,7494,66,205.91,46,1.49,7.4,91.4,120
1778452800,96,7494,66,206.04,46,1.49,7.4,91.2,120
1778452802,97,7494,66,206.70,46,1.45,6.6,91.3,120
