ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409720,22,11388,49,23.31,0,1.75
1778409722,38,997,49,18.49,0,1.75
1778409723,4,7928,50,31.23,0,1.75
1778409725,30,11378,52,49.18,0,1.75
1778409726,26,11378,51,41.28,0,1.77
1778409728,36,11378,51,36.55,0,1.77
1778409729,39,11378,52,44.48,0,1.77
1778409730,14,11386,53,73.60,0,1.95
1778409732,27,11386,52,62.32,0,1.95
1778409733,28,11386,51,35.53,0,1.95
1778409735,30,11386,51,34.86,0,1.95
1778409736,34,11386,51,34.64,0,1.95
1778409738,33,11386,51,34.07,0,1.95
1778409739,29,11386,52,33.99,0,1.95
1778409741,32,11386,52,33.68,0,2.27
1778409742,35,11386,51,33.28,0,2.27
1778409744,30,11386,51,33.40,0,2.27
1778409745,35,11386,51,33.29,0,2.27
1778409747,31,11386,51,33.20,0,2.17
1778409748,39,11386,51,33.32,0,2.17
1778409749,45,11386,51,33.44,0,2.17
1778409751,38,11386,52,33.34,0,2.24
1778409752,36,11386,51,33.33,0,2.24
1778409754,34,11386,51,33.01,0,2.24
1778409755,33,11386,51,33.27,0,2.24
1778409757,40,11386,51,33.24,0,2.30
1778409758,37,11386,51,33.38,0,2.30
1778409760,34,11386,51,33.16,0,2.30
1778409761,33,11386,51,33.11,0,2.19
1778409762,34,11386,51,32.78,0,2.19
1778409764,35,11386,51,32.78,0,2.19
1778409765,38,11386,52,32.82,0,2.19
1778409767,37,11386,51,32.85,0,2.26
1778409768,35,11386,51,33.12,0,2.26
1778409770,35,11386,51,32.92,0,2.26
1778409771,34,11386,51,33.06,0,3.28
1778409773,34,11386,52,32.83,0,3.28
1778409774,44,11386,52,32.80,0,3.28
1778409775,35,11386,51,32.79,0,3.34
1778409777,34,11386,51,33.25,0,3.34
1778409778,35,11386,51,33.15,0,3.34
1778409780,45,11386,52,33.06,0,3.34
1778409781,33,11386,52,32.73,0,3.23
1778409783,36,11386,52,32.90,0,3.23
1778409784,42,11386,52,33.11,0,3.23
1778409786,34,11386,52,32.86,0,3.13
1778409787,43,11386,52,32.80,0,3.13
1778409789,34,11386,52,32.82,0,3.13
1778409790,40,11386,52,32.79,0,3.13
1778409792,33,11386,52,32.76,0,3.04
1778409793,36,11386,52,32.69,0,3.04
1778409794,35,11386,52,32.41,0,3.04
1778409796,40,11386,52,32.96,0,3.04
1778409797,35,11386,52,32.64,0,3.04
1778409799,36,11386,52,32.99,0,3.04
1778409800,37,11386,52,32.81,0,3.04
1778409802,35,11386,52,32.82,0,2.95
1778409803,37,11386,52,33.00,0,2.95
1778409805,36,11386,52,32.47,0,2.95
1778409806,40,11386,52,32.77,0,2.72
1778409807,39,11386,52,32.56,0,2.72
1778409809,39,11386,52,32.84,0,2.72
1778409810,39,11386,52,32.68,0,2.72
1778409812,39,11386,52,32.73,0,2.66
1778409813,39,11386,52,32.70,0,2.66
